date,albedo_i1,albedo_i2,albedo_i3,albedo_broadband,product,source
2017-08-20,0.44086225496698417,0.3850951783235684,0.14426188546376328,0.3105923423480822,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-21,0.43347719207304697,0.37854429073340734,0.14243320942254079,0.3066247192142599,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-22,0.4216398144902146,0.3707305894795563,0.15107650698342848,0.29693681873978645,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-23,0.4570767085657862,0.4056817662495765,0.13896576070983116,0.32243459326917745,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-24,0.4721690332397846,0.4234323937931093,0.1417141445764778,0.3307586329477318,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-25,0.5114844780620141,0.4952358792571137,0.11277020477948944,0.3510299125841213,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-26,0.5158136878990611,0.48836699130813144,0.09113077804764551,0.3433781763158797,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-27,0.5178088276663124,0.48835572443270914,0.09007669456878578,0.34384265642197476,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-28,0.4999634410391272,0.4731843769888578,0.08002714513870701,0.3264122108101306,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-29,0.5010932264718851,0.47314434363741503,0.07653410496253564,0.3274661090262689,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-30,0.5014277497520909,0.4736935815164105,0.07997550142979859,0.3272586087226663,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-08-31,0.49526242995044256,0.47566685012700394,0.08027995204485211,0.3234312434845789,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-01,0.5117361867337796,0.4865058401016164,0.07977257768045593,0.3356569493215797,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-02,0.48676240050364056,0.4656345468334809,0.08342841003900295,0.31954553994540513,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-03,0.5011329961947149,0.48946388591621026,0.07787876483029935,0.3307555146086898,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-04,0.5129401991383238,0.5006806575520683,0.07765777548298573,0.3389273500117965,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-05,0.5241616705394027,0.5091512843823193,0.08125957938948812,0.34757714948108703,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-06,0.526865659791644,0.5165336942479068,0.08001759979140757,0.35085414900010337,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-07,0.5369036786759309,0.5214288033876403,0.07767738560917023,0.3553401393512797,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-08,0.517198937204438,0.5068528752431878,0.07751679451213357,0.33976800945270685,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-09,0.5439647449382324,0.5368448847748681,0.08163610159522539,0.36403179667178803,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-10,0.5620606572488273,0.546038055197916,0.08747666985257695,0.37579305862830886,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-11,0.5574043212426965,0.5689477542513742,0.11551117547413225,0.38458293812343924,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-12,0.5451342768146364,0.5678179586193223,0.11420514055648275,0.37856063288926983,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-13,0.5858147376681364,0.5872153759433084,0.10588169606002389,0.40752466678587823,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-14,0.599236057960715,0.5942389073149753,0.10779405888844897,0.4188619978578897,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-15,0.5852757272702849,0.5659675105794886,0.10734174987545363,0.4073777303924991,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-16,0.577737762405867,0.5537712459151729,0.10872957749691256,0.4011908735600073,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-17,0.6023129129923473,0.5816290412870337,0.10629517403008075,0.4164971901923369,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-18,0.5978023145493534,0.5783291671509252,0.105766046811202,0.4151668565606522,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-19,0.6224640108294738,0.5730941642777899,0.0820130776117452,0.4167218021335201,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-20,0.5979014953628803,0.5524077927638857,0.08329197543618509,0.3978718318909719,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-21,0.6035519921936462,0.5533529874865833,0.08257132798609766,0.402423569045137,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-22,0.6044444954563145,0.5584432301401084,0.07977184857357812,0.4032673421139056,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-23,0.6109116354893942,0.565892209266397,0.07888941931632339,0.40720301422931615,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-24,0.6101373319145017,0.5651557427742299,0.07731160967197218,0.4059180890150476,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-25,0.6032526461060344,0.5656513215504365,0.06926257620300474,0.3978617226928264,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-26,0.588787942055513,0.5322243764679657,0.06334539471414384,0.3840206543651569,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-27,0.5942980253814213,0.5415102159965794,0.066697148387024,0.3896379282173513,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
2017-09-28,0.5883234958510842,0.5333170439057842,0.06602776369315477,0.3854921325571396,VNP43IA1,VIIRS VNP43IA1 BRDF (Collection 001)
